Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Personal Loan,Credit-Builder Loan,Debt Consolidation Loan,Mortgage Loan,Student Loan,Payday Loan,Auto Loan,Home Equity Loan
May,35.0,Teacher,21454.72,1656.8933333333334,3.0,4.0,5.0,3.0,26.0,10.0,10.36,3.0,1.0,990.57,34.007860976929265,363.0,Yes,39.69936005071092,103.39176886872356,Low_spent_Small_value_payments,312.5982044138989,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
June,20.0,Scientist,93143.58,7584.965,4.0,4.0,10.0,5.0,18.0,21.0,14.67,7.0,1.0,1354.48,25.29976585473257,92.0,Yes,261.98950066556665,458.52637595948516,High_spent_Small_value_payments,297.9806233749482,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
March,15.0,Doctor,75305.44,6427.453333333334,9.0,7.0,34.0,7.0,53.0,23.0,19.8,12.0,0.0,3517.23,30.43955915485885,150.0,Yes,69.46323081444827,96.81380310817671,High_spent_Medium_value_payments,361.8014576673157,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
January,50.0,Teacher,28497.51,2542.7925,4.0,6.0,4.0,1.0,10.0,8.0,2.67,4.0,2.0,288.92,39.331654261277926,241.0,No,21.64862508182928,58.71895639388053,High_spent_Large_value_payments,413.9116685242902,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
January,42.0,Entrepreneur,31645.66,2676.1383333333333,4.0,4.0,4.0,2.0,25.0,14.0,8.6,4.0,2.0,807.06,32.943315164590274,313.0,No,34.25754124687306,133.72800399760985,Low_spent_Large_value_payments,331.11059052015645,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
March,34.0,Entrepreneur,14925.81,1101.8175,8.0,6.0,5.0,5.0,19.0,13.0,7.23,8.0,1.0,781.33,29.54295191200251,121.0,No,61.7842816183049,35.87773091272803,Low_spent_Small_value_payments,272.51973746896704,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
January,42.0,Engineer,58966.89,4628.9075,5.0,5.0,7.0,0.0,28.0,15.0,11.77,8.0,1.0,1452.98,36.89619094417002,223.0,Yes,0.0,71.06937974461368,High_spent_Large_value_payments,631.8213702553862,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
February,35.0,Writer,125062.92,10250.91,5.0,3.0,11.0,1.0,15.0,8.0,9.49,4.0,0.0,1424.96,36.92824387729842,252.0,No,73.98129377430999,337.33423980818736,High_spent_Small_value_payments,334.044059374466,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
June,44.0,Teacher,28702.52,2420.8766666666666,5.0,6.0,9.0,3.0,8.0,10.0,10.16,6.0,1.0,1005.41,24.4407223982452,229.0,Yes,36.65081375775504,46.33727009947468,High_spent_Medium_value_payments,409.09958280943704,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
February,19.0,Architect,11336.835,992.73625,4.0,6.0,14.0,6.0,30.0,19.0,11.44,7.0,1.0,177.98,26.55673355211169,173.0,Yes,35.56273086250209,28.380600647297115,Low_spent_Medium_value_payments,315.3302934902008,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
June,44.0,Musician,61127.37,4628.9075,8.0,5.0,16.0,2.0,9.0,19.0,8.23,4.0,1.0,1232.42,37.6615791768779,75.0,Yes,69.46323081444827,183.63872571285128,Low_spent_Small_value_payments,517.6798648478166,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
August,33.0,Lawyer,78244.68,8108.6525,4.0,6.0,23.0,5.0,25.0,20.0,14.78,6.0,1.0,1737.51,25.268422706156468,147.0,Yes,319.05773219616987,214.20555006702043,High_spent_Medium_value_payments,365.0757177368097,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
August,45.0,Doctor,99475.83,8108.6525,7.0,6.0,10.0,1.0,25.0,20.0,3.84,6.0,1.0,587.9,30.210595855718445,336.0,No,49.27572404842071,544.876565155028,Low_spent_Small_value_payments,506.7129607965514,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
July,27.0,Accountant,42387.54,3680.295,3.0,7.0,26.0,7.0,11.0,10.0,14.34,7.0,1.0,1835.67,29.630384376898878,119.0,Yes,225.883368970478,544.876565155028,High_spent_Small_value_payments,231.11544571999084,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
February,40.0,Scientist,19206.92,1373.5766666666666,7.0,8.0,19.0,5.0,40.0,20.0,3.08,11.0,1.0,3600.06,25.22156836955077,26.0,Yes,65.19760798764706,62.498542646541864,Low_spent_Medium_value_payments,289.66151603247766,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
March,37.0,Developer,8571.29,514.2741666666667,8.0,7.0,24.0,9.0,53.0,28.0,6.09,6.0,0.0,1716.56,26.22672367620193,144.0,Yes,42.827855239035294,52.76291955977237,Low_spent_Small_value_payments,245.83664186785904,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
March,55.0,Journalist,23794.07,1771.8391666666666,6.0,3.0,7.0,4.0,6.0,15.0,-2.13,0.0,1.0,1436.59,39.790816143878544,204.0,No,60.52471128737462,59.04167330596393,High_spent_Medium_value_payments,307.6175320733281,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
June,31.0,Teacher,49405.92,4019.16,7.0,6.0,8.0,0.0,27.0,9.0,10.51,7.0,1.0,1123.87,34.65550490234104,303.0,Yes,69.46323081444827,187.202429981484,Low_spent_Large_value_payments,484.713570018516,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
August,19.0,Engineer,136359.64,10083.156763145427,5.0,3.0,2.0,2.0,30.0,12.0,9.7,7.0,1.0,1455.64,29.79727055428145,381.0,No,69.46323081444827,91.86395354603935,Low_spent_Large_value_payments,406.1668773603935,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
July,26.0,Media_Manager,126464.01,10420.6675,5.0,5.0,6.0,2.0,12.0,5.0,7.1,4.0,2.0,688.1,24.259104327090625,289.0,No,69.46323081444827,527.563600739253,High_spent_Small_value_payments,604.2027645293547,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
April,39.0,Writer,14067.58,920.2983333333334,9.0,6.0,20.0,8.0,20.0,19.0,3.57,9.0,0.0,3043.88,29.11027038764704,108.0,Yes,71.63048026582938,42.00324582874372,Low_spent_Small_value_payments,238.39610723876027,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
May,42.0,Teacher,19214.965,1730.2470833333334,0.0,4.0,11.0,0.0,14.0,10.0,4.18,0.0,2.0,498.81,37.60068417859097,349.0,No,0.0,127.84632197135099,Low_spent_Small_value_payments,335.1783863619824,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
June,27.0,Teacher,39005.96,3380.4966666666664,10.0,10.0,17.0,6.0,49.0,15.0,15.4,11.0,0.0,2845.49,26.13923994672324,153.0,Yes,102.7957909761384,216.18847381206098,High_spent_Small_value_payments,279.06540187846736,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
January,34.0,Engineer,70590.98,10083.156763145427,4.0,4.0,4.0,2.0,3.0,1.0,8.19,1.0,2.0,258.33,35.43644048948086,250.0,No,61.84529519186657,91.86395354603935,High_spent_Medium_value_payments,656.5489179287607,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
August,38.0,Entrepreneur,71830.0,5829.833333333332,6.0,5.0,25.0,8.0,47.0,23.0,21.91,7.0,0.0,2952.58,34.607422213425096,137.0,Yes,69.46323081444827,152.99375873767676,High_spent_Medium_value_payments,274.9215695866875,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
August,39.0,Doctor,34680.44,2730.6099918316863,3.0,3.0,18.0,0.0,20.0,11.0,14.72,5.0,1.0,551.18,26.32829185051693,330.0,No,69.46323081444827,324.13802241717616,Low_spent_Small_value_payments,279.46564424949054,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
May,42.0,Teacher,117878.55,9836.2125,3.0,3.0,6.0,3.0,5.0,8.0,7.72,0.0,2.0,84.22,37.29747123154608,311.0,No,259.23699825623834,133.72800399760985,High_spent_Medium_value_payments,662.1695732199466,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
August,19.0,Manager,19098.69,1509.5575,8.0,10.0,22.0,9.0,47.0,18.0,26.84,6.0,0.0,1178.69,38.36595309041325,147.0,Yes,95.42339345987509,161.87680368863272,Low_spent_Small_value_payments,183.6555528514922,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
August,44.0,Lawyer,80807.37,6796.947499999998,3.0,4.0,6.0,3.0,24.0,13.0,3.83,6.0,2.0,970.11,27.92751995859037,393.0,No,161.03438851378766,329.2439410892826,Low_spent_Medium_value_payments,469.4164203969297,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
January,25.0,Architect,17001.68,1485.8066666666666,10.0,7.0,18.0,6.0,44.0,12.0,8.19,11.0,0.0,4033.83,26.314847049779395,149.0,Yes,53.391971393009264,41.684677575847076,Low_spent_Large_value_payments,323.50401769781035,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
July,47.0,Writer,13982.725,931.2270833333334,7.0,6.0,12.0,4.0,12.0,11.0,14.45,4.0,1.0,1458.61,35.164115332888535,361.0,Yes,37.983362942412526,33.200498368093484,Low_spent_Small_value_payments,311.93884702282736,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
June,35.0,Architect,40206.26,3552.521666666667,3.0,3.0,15.0,1.0,24.0,10.0,11.98,3.0,1.0,736.97,31.95286493224161,369.0,Yes,17.787342213516453,143.22107262080064,High_spent_Medium_value_payments,444.24375183234963,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
February,33.0,Developer,135596.28,11343.69,4.0,3.0,12.0,1.0,17.0,12.0,3.85,2.0,1.0,298.74,22.19536251150574,191.0,No,111.1157137468094,133.72800399760985,Low_spent_Small_value_payments,334.044059374466,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
July,45.0,Media_Manager,20062.49,1908.874166666667,10.0,5.0,18.0,7.0,45.0,25.0,21.07,11.0,0.0,3212.49,39.92560561207506,145.0,Yes,67.00738512125604,108.45339179605465,Low_spent_Large_value_payments,285.426639749356,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
March,24.0,Doctor,127014.28,10870.523333333333,7.0,6.0,14.0,3.0,28.0,16.0,15.489999999999998,9.0,1.0,245.63,25.90500127188529,106.0,Yes,69.46323081444827,133.72800399760985,High_spent_Small_value_payments,440.97906289179537,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
August,44.0,Musician,48824.14,3357.19328039402,8.0,4.0,16.0,3.0,28.0,15.0,10.55,5.0,1.0,651.27,28.518512219477863,227.0,No,69.46323081444827,362.1789969103559,Low_spent_Small_value_payments,245.09792641141652,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
July,25.0,Lawyer,21697.64,2088.1366666666668,3.0,7.0,8.0,3.0,5.0,13.0,10.65,4.0,1.0,431.39,29.52237340382261,232.0,Yes,36.1425286636439,181.64962461396297,Low_spent_Medium_value_payments,271.0215133890598,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
January,26.0,Mechanic,37756.85,3097.31625,1.0,5.0,5.0,1.0,6.0,-1.0,10.75,3.0,2.0,181.42,29.47112865851305,379.0,No,138.80174817100493,291.3942706149216,High_spent_Large_value_payments,334.044059374466,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
June,19.0,Lawyer,38694.74,2979.561666666666,6.0,5.0,32.0,7.0,49.0,16.0,8.8,9.0,0.0,1647.69,25.5391276849234,219.0,Yes,148.0598297143696,235.8701791934849,Low_spent_Large_value_payments,184.02615775881213,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
June,36.0,Teacher,29969.66,2418.471666666667,8.0,6.0,18.0,1.0,24.0,16.0,11.97,5.0,1.0,157.07,28.116445662356423,271.0,No,14.380461753694744,51.66662723909462,Low_spent_Small_value_payments,425.80007767387735,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
May,36.0,Teacher,107304.42,8936.035,1.0,4.0,7.0,0.0,0.0,10.0,1.45,4.0,2.0,1171.11,33.26541527999405,227.0,No,0.0,379.78405649131264,High_spent_Medium_value_payments,763.8194435086874,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
July,31.0,Architect,29986.48,2655.873333333333,10.0,7.0,18.0,7.0,49.0,16.0,15.86,16.0,0.0,3836.36,28.99456749882991,16.0,No,120.76575688449633,117.0335786404649,High_spent_Small_value_payments,287.7879978083721,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
March,30.0,Developer,32543.38,2902.9483333333333,5.0,6.0,25.0,3.0,18.0,20.0,7.91,8.0,1.0,1924.31,29.366835866085147,16.0,Yes,65.42524227219354,197.14262152343483,High_spent_Small_value_payments,287.726969537705,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
February,34.0,Lawyer,31506.9,2448.5750000000007,6.0,10.0,34.0,7.0,54.0,16.0,16.75,7.0,1.0,1612.7,40.91734789928511,153.0,Yes,115.72383994306948,69.02375329902239,Low_spent_Large_value_payments,330.1099067579081,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
June,39.0,Entrepreneur,62805.48,5247.79,6.0,7.0,30.0,5.0,33.0,20.0,0.85,15.0,0.0,1584.95,26.84953190322641,240.0,Yes,134.01028824172923,88.56068577124678,High_spent_Large_value_payments,542.208025987024,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
January,17.0,Mechanic,7619.09,428.92416666666674,4.0,6.0,18.0,2.0,28.0,20.0,7.5,9.0,1.0,2069.3,23.87656830725466,185.0,Yes,8.756593492746727,31.21837194195791,Low_spent_Medium_value_payments,282.91745123196205,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
February,15.0,Entrepreneur,33238.98,2485.9150000000004,7.0,8.0,27.0,2.0,41.0,16.0,11.84,11.0,0.0,1712.72,26.63563287065383,166.0,Yes,54.70127740849407,75.53328482400916,High_spent_Medium_value_payments,368.35693776749685,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
January,34.0,Media_Manager,14956.12,1235.3433333333337,2.0,6.0,1.0,2.0,25.0,2.0,9.17,6.0,2.0,851.44,32.24429896031293,218.0,No,17.739127202249307,66.04673754916861,High_spent_Small_value_payments,316.451236851109,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
August,46.0,Teacher,37756.85,1593.000833333333,5.0,3.0,6.0,3.0,19.0,9.0,13.02,4.0,1.0,1228.86,25.31678276208158,344.0,Yes,50.8108481274405,151.51663020441836,Low_spent_Small_value_payments,246.97260500147445,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
August,38.0,Journalist,13315.2,1307.6,8.0,5.0,16.0,0.0,13.0,12.0,7.84,7.0,1.0,1233.74,31.076466136038785,219.0,No,0.0,27.095465332823586,High_spent_Large_value_payments,343.66453466717644,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
February,21.0,Mechanic,124436.4,10520.7,5.0,5.0,7.0,2.0,12.0,9.0,2.82,1.0,2.0,529.84,38.35270033759192,354.0,No,164.01408226861656,271.59915960583044,High_spent_Large_value_payments,334.044059374466,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
June,22.0,Doctor,29180.37,2409.6975,4.0,4.0,4.0,2.0,28.0,18.0,4.14,6.0,2.0,363.07,27.050231881172238,372.0,No,43.76933694219254,65.16524021892053,Low_spent_Large_value_payments,402.03517283888687,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
May,35.0,Journalist,43849.26,3757.105,3.0,1.0,1.0,2.0,8.0,7.0,2.47,4.0,2.0,506.71,38.77661531184575,342.0,No,65.00920084099373,134.76051951917802,High_spent_Medium_value_payments,425.94077963982835,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
August,28.0,Media_Manager,32928.36,10520.7,5.0,6.0,20.0,0.0,21.0,13.0,2.82,0.0,2.0,781.1,38.91835126442539,360.0,Yes,0.0,191.20103384678703,Low_spent_Medium_value_payments,389.40196615321287,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
May,29.0,Developer,17946.85,1437.5708333333332,8.0,10.0,33.0,6.0,36.0,21.0,22.61,7.0,0.0,1178.69,32.128699621217734,80.0,Yes,53.61062329648181,169.47217577133586,Low_spent_Small_value_payments,210.67428426551567,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
July,36.0,Mechanic,8705.96,9109.5475,3.0,7.0,27.0,3.0,26.0,15.0,19.19,11.0,1.0,2594.78,29.04269101273545,199.0,Yes,16.446953824287228,61.24909285608396,Low_spent_Medium_value_payments,292.05361998629553,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
January,19.0,Entrepreneur,108504.92,9075.076666666666,7.0,3.0,7.0,4.0,6.0,14.0,5.5600000000000005,2.0,1.0,245.53,28.33737377212251,233.0,No,209.5280664185869,133.72800399760985,Low_spent_Large_value_payments,200.00998459129016,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
July,18.0,Manager,29827.36,2722.613333333333,4.0,5.0,17.0,2.0,15.0,18.0,10.56,6.0,1.0,1872.75,27.866333840979443,80.0,Yes,31.496674151519752,220.40822718822508,Low_spent_Small_value_payments,310.35643199358844,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
March,38.0,Writer,109110.57,9109.5475,0.0,1.0,4.0,4.0,5.0,3.0,1.76,0.0,2.0,411.96,35.12339044889239,190.0,No,257.23228865030416,133.72800399760985,Low_spent_Small_value_payments,118.62105631240536,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
July,35.0,Accountant,18578.88,1325.1134734621792,1.0,3.0,1.0,3.0,15.0,11.0,11.87,5.0,2.0,779.49,26.736883974530343,377.0,No,140.10686499523516,44.23836243983301,Low_spent_Small_value_payments,319.4052991027528,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
June,28.0,Entrepreneur,59377.14,5040.095,8.0,3.0,15.0,7.0,19.0,13.0,15.84,11.0,1.0,1342.14,37.8091295438066,154.0,Yes,214.1651085977205,288.4093645505787,Low_spent_Large_value_payments,271.43502685170085,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
April,28.0,Scientist,61035.4,5140.283333333334,9.0,5.0,21.0,4.0,18.0,25.0,9.64,9.0,0.0,2490.34,26.79251554231481,77.0,Yes,186.8174693349688,192.21532743614358,Low_spent_Small_value_payments,424.995536562221,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
June,52.0,Lawyer,107797.8,9109.15,7.0,3.0,20.0,4.0,5.0,16.0,4.89,0.0,1.0,115.82,23.67088558663089,397.0,No,250.95228821777903,133.72800399760985,Low_spent_Medium_value_payments,7.828344201998675,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
April,41.0,Accountant,23692.52,2104.376666666667,5.0,3.0,8.0,0.0,28.0,16.0,10.69,0.0,1.0,915.87,31.876916817081785,371.0,Yes,0.0,22.55279341866877,High_spent_Medium_value_payments,437.8848732479979,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
August,30.0,Engineer,19159.565,7087.943333333334,1.0,6.0,11.0,2.0,1.0,10.0,1.8,3.0,2.0,677.58,32.635478517612874,323.0,No,24.53485516137741,43.38098462199122,Low_spent_Large_value_payments,340.64720188329807,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
January,20.0,Teacher,81995.32,7087.943333333334,3.0,7.0,5.0,4.0,15.0,10.0,9.47,4.0,1.0,193.78,27.55330066847691,233.0,Yes,175.9027800666592,282.322851032898,High_spent_Medium_value_payments,500.56870223377626,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
July,47.0,Developer,53979.12,4792.26,3.0,6.0,20.0,1.0,15.0,17.0,11.87,7.0,1.0,543.95,35.63147589383857,225.0,No,39.35303604581543,191.6015891719484,Low_spent_Small_value_payments,538.2713747822363,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
April,24.0,Media_Manager,63847.8,5156.6500000000015,8.0,3.0,32.0,7.0,19.0,14.0,14.23,6.0,1.0,2440.4,24.43208510083611,74.0,Yes,257.2212678940257,121.50194538231176,High_spent_Medium_value_payments,386.9417867236626,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
August,33.0,Writer,41588.74,3201.728333333333,5.0,3.0,7.0,2.0,14.0,6.0,8.95,6.0,2.0,630.25,37.95536601491455,323.0,No,61.942865755910894,48.676018837979676,High_spent_Medium_value_payments,459.55394873944266,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
August,41.0,Lawyer,8973.16,762.7633333333333,6.0,8.0,16.0,5.0,18.0,21.0,0.52,10.0,1.0,1483.24,30.95228531155591,174.0,Yes,20.27801062498116,76.63326938133768,Low_spent_Small_value_payments,269.3650533270145,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
March,23.0,Mechanic,7518.15,506.0465455605354,10.0,9.0,32.0,6.0,44.0,19.0,27.61,13.0,0.0,3651.34,34.74366918844949,106.0,Yes,88.2504797789924,19.9296620290049,Low_spent_Small_value_payments,300.03706263146717,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
June,54.0,Manager,11631.405,858.28375,4.0,7.0,8.0,4.0,23.0,17.0,-3.43,3.0,2.0,165.88,24.845692186547524,380.0,No,32.057962750550374,51.11209755607586,Low_spent_Medium_value_payments,282.65831469337377,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
July,37.0,Entrepreneur,71830.0,5829.833333333332,6.0,5.0,25.0,8.0,43.0,24.0,21.91,7.0,0.0,2952.58,33.469254179128754,136.0,Yes,69.46323081444827,189.75628030792905,High_spent_Small_value_payments,248.15904801643524,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
February,18.0,Media_Manager,50739.27,4387.2725,4.0,6.0,5.0,6.0,13.0,15.0,14.03,4.0,1.0,1552.17,25.71232202509764,72.0,Yes,240.05675062535465,100.12481242018556,High_spent_Large_value_payments,338.5456869544598,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
July,33.0,Lawyer,12426.29,939.5241666666668,5.0,4.0,13.0,3.0,27.0,16.0,16.14,10.0,1.0,1399.81,37.58487160913853,106.0,Yes,18.801898458304382,13.844879569600494,High_spent_Large_value_payments,301.3056386387618,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
March,42.0,Journalist,32424.62,2867.0516666666667,4.0,7.0,4.0,3.0,8.0,12.0,5.25,0.0,2.0,442.63,23.64977225446058,275.0,No,0.0,113.6745714197997,Low_spent_Large_value_payments,443.03059524686694,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
January,33.0,Writer,14947.38,1191.615,8.0,10.0,28.0,6.0,40.0,17.0,13.13,7.0,0.0,2059.59,27.46186019399523,133.0,Yes,49.29889690321831,44.321540149533625,Low_spent_Small_value_payments,257.79754610634257,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
April,37.0,Media_Manager,20496.79,1635.065833333333,3.0,3.0,6.0,2.0,15.0,17.0,3.37,4.0,1.0,1165.77,33.95096052605325,298.0,Yes,69.46323081444827,50.3026612000861,High_spent_Medium_value_payments,334.49135927047433,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
April,24.0,Writer,60400.17,5010.3475,6.0,8.0,29.0,7.0,54.0,24.0,9.38,11.0,0.0,4058.77,26.94714304541352,59.0,Yes,211.65583161894267,133.72800399760985,Low_spent_Small_value_payments,334.044059374466,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
April,21.0,Lawyer,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,15.0,11.8,7.0,1.0,1489.49,31.78179827243648,107.0,Yes,16.719300227776053,76.3552778113165,Low_spent_Large_value_payments,272.84829696090753,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
May,27.0,Engineer,69806.76,6055.23,3.0,4.0,19.0,0.0,21.0,22.0,5.49,4.0,1.0,192.43,27.28104469062447,225.0,Yes,69.46323081444827,406.17968688165655,High_spent_Small_value_payments,459.34331311834353,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
January,35.0,Developer,8631.04,683.2533333333333,7.0,7.0,18.0,8.0,47.0,25.0,22.54,10.0,0.0,1178.69,25.587167729284733,148.0,Yes,49.24068791457922,16.552914131735964,High_spent_Medium_value_payments,252.53173128701812,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
February,28.0,Scientist,10401.21,657.7674999999998,9.0,10.0,22.0,2.0,49.0,16.0,0.71,10.0,0.0,2106.7,29.57625671822623,89.0,Yes,14.67929122612698,48.19982511467958,Low_spent_Medium_value_payments,282.89763365919345,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
May,43.0,Mechanic,15762.82,1216.5683333333334,3.0,5.0,7.0,3.0,24.0,14.0,10.18,2.0,0.0,537.23,29.17772932462251,364.0,No,19.778090105530392,21.744876061696672,High_spent_Large_value_payments,320.13386716610626,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
August,23.0,Musician,20652.98,1468.081666666667,7.0,5.0,21.0,2.0,24.0,10.0,8.58,8.0,1.0,1859.53,37.44110091296552,227.0,No,33.238356239959586,54.60338563277085,Low_spent_Small_value_payments,348.96642479393626,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
June,35.0,Entrepreneur,16511.455,1554.9545833333334,8.0,5.0,15.0,4.0,19.0,12.0,8.46,6.0,1.0,84.74,33.83272690351829,258.0,No,40.607569442788,206.38050876917515,Low_spent_Small_value_payments,198.5073801213702,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
January,27.0,Developer,8171.11,886.9258333333332,7.0,6.0,16.0,3.0,16.0,21.0,2.64,9.0,0.0,1739.92,37.63950581920643,152.0,Yes,14.568179654225531,81.77590708044806,Low_spent_Small_value_payments,282.3484965986597,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
February,45.0,Developer,15635.86,1341.9883333333337,3.0,3.0,15.0,2.0,17.0,19.0,6.21,1.0,1.0,409.7,33.616097810757644,320.0,No,18.134519446557647,151.55583091032705,Low_spent_Small_value_payments,254.50848297644862,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
March,52.0,Mechanic,89913.09,7648.7575,8.0,4.0,10.0,3.0,24.0,12.0,19.7,0.0,1.0,315.5,37.15829617139168,334.0,No,207.9658973926408,140.84506278242748,High_spent_Large_value_payments,656.0647898249317,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
August,35.0,Lawyer,50520.75,4407.0625,6.0,5.0,33.0,5.0,18.0,17.0,3.53,12.0,0.0,1535.02,29.35278787271202,105.0,Yes,127.53756903965916,157.29036058391955,High_spent_Medium_value_payments,405.8783203764213,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
